elementName,table,variableName,defaultValue,inputSources,labInputs,processingFunction
fake_sample,Sample,sampleID,,lab sheet,__const__mi_01:str;A,create_sample_id
fake_sample,Sample,siteID,mi_01,,,
fake_sample,Sample,instrumentID,none,,,
fake_sample,Sample,reporterID,metroPlant,,,
fake_sample,Sample,dateTime,,,,
fake_sample,Sample,dateTimeStart,none,,,
fake_sample,Sample,dateTimeEnd,none,lab sheet,A,
fake_sample,Sample,type,rawWW,,,
fake_sample,Sample,typeOther,none,,,
fake_sample,Sample,collection,cpFP24h,,,
fake_sample,Sample,collectionOther,none,,,
fake_sample,Sample,preTreatment,none,,,
fake_sample,Sample,preTreatmentDescription,none,,,
fake_sample,Sample,pooled,FALSE,,,
fake_sample,Sample,children,none,,,
fake_sample,Sample,parent,none,,,
fake_sample,Sample,sizeL,none,,,
fake_sample,Sample,fieldSampleTempC,none,lab sheet,H,
fake_sample,Sample,shippedOnIce,none,,,
fake_sample,Sample,storageTempC,none,,,
fake_sample,Sample,qualityFlag,FALSE,,,
fake_sample,Sample,notes,,,,
n1,WWMeasure,wwMeasureID,,lab sheet,__const__mi_01:str;A;__const__covN1:str,create_wwmeasure_id
n1,WWMeasure,reporterID,,metroPlant,,
n1,WWMeasure,sampleID,,lab sheet,__const__mi_01:str;A,create_sample_id
n1,WWMeasure,labID,,metroLab,,
n1,WWMeasure,assayMethodID,none,,,
n1,WWMeasure,analysisDate,,lab sheet,A,
n1,WWMeasure,reportDate,,lab sheet,A,
n1,WWMeasure,fractionAnalyzed,,,,
n1,WWMeasure,type,covN1,,,
n1,WWMeasure,value,,lab sheet,B,convert_to_gc_ml
n1,WWMeasure,unit,gcMl,,,
n1,WWMeasure,aggregation,single,,,
n1,WWMeasure,index,1,,,
n1,WWMeasure,qualityFlag,FALSE,,,
n1,WWMeasure,accessToPublic,FALSE,,,
n1,WWMeasure,accessToAllOrg,FALSE,,,
n1,WWMeasure,accessToPHAC,FALSE,,,
n1,WWMeasure,accessToLocalHA,FALSE,,,
n1,WWMeasure,accessToProvHA,FALSE,,,
n1,WWMeasure,accessToOtherProv,FALSE,,,
n1,WWMeasure,accessToDetails,FALSE,,,
n1,WWMeasure,notes,,,,
n2,WWMeasure,wwMeasureID,,lab sheet,__const__mi_01:str;A;__const__covN2:str,create_wwmeasure_id
n2,WWMeasure,reporterID,metroPlant,,,
n2,WWMeasure,sampleID,,lab sheet,__const__mi_01:str;A,create_sample_id
n2,WWMeasure,labID,metroLab,,,
n2,WWMeasure,assayMethodID,none,,,
n2,WWMeasure,analysisDate,,lab sheet,A,
n2,WWMeasure,reportDate,,lab sheet,A,
n2,WWMeasure,fractionAnalyzed,,,,
n2,WWMeasure,type,covN2,,,
n2,WWMeasure,value,,lab sheet,D,
n2,WWMeasure,unit,gcMl,,,
n2,WWMeasure,aggregation,single,,,
n2,WWMeasure,index,1,,,
n2,WWMeasure,qualityFlag,FALSE,,,
n2,WWMeasure,accessToPublic,FALSE,,,
n2,WWMeasure,accessToAllOrg,FALSE,,,
n2,WWMeasure,accessToPHAC,FALSE,,,
n2,WWMeasure,accessToLocalHA,FALSE,,,
n2,WWMeasure,accessToProvHA,FALSE,,,
n2,WWMeasure,accessToOtherProv,FALSE,,,
n2,WWMeasure,accessToDetails,FALSE,,,
n2,WWMeasure,notes,,,,
TSS,SiteMeasure,siteMeasureID,,lab sheet,__const__mi_01:str;A;__const__wwTSS:str,create_sitemeasure_id
TSS,SiteMeasure,siteID,mi_01,,,
TSS,SiteMeasure,instrumentID,none,,,
TSS,SiteMeasure,reporterID,metroPlant,,,
TSS,SiteMeasure,sampleID,,lab sheet,__const__mi_01:str;A,create_sample_id
